"Date_evenement";"Femmes_0_24ans_Deces2020";"Femmes_25_49ans_Deces2020";"Femmes_50_64ans_Deces2020";"Femmes_65_74ans_Deces2020";"Femmes_75_84ans_Deces2020";"Femmes_85ans_plus_Deces2020";"Hommes_0_24ans_Deces2020";"Hommes_25_49ans_Deces2020";"Hommes_50_64ans_Deces2020";"Hommes_65_74ans_Deces2020";"Hommes_75_84ans_Deces2020";"Hommes_85ans_plus_Deces2020";"Femmes_0_24ans_Deces2019";"Femmes_25_49ans_Deces2019";"Femmes_50_64ans_Deces2019";"Femmes_65_74ans_Deces2019";"Femmes_75_84ans_Deces2019";"Femmes_85ans_plus_Deces2019";"Hommes_0_24ans_Deces2019";"Hommes_25_49ans_Deces2019";"Hommes_50_64ans_Deces2019";"Hommes_65_74ans_Deces2019";"Hommes_75_84ans_Deces2019";"Hommes_85ans_plus_Deces2019";"Femmes_0_24ans_Deces2018";"Femmes_25_49ans_Deces2018";"Femmes_50_64ans_Deces2018";"Femmes_65_74ans_Deces2018";"Femmes_75_84ans_Deces2018";"Femmes_85ans_plus_Deces2018";"Hommes_0_24ans_Deces2018";"Hommes_25_49ans_Deces2018";"Hommes_50_64ans_Deces2018";"Hommes_65_74ans_Deces2018";"Hommes_75_84ans_Deces2018";"Hommes_85ans_plus_Deces2018";"Zone";"LibelleZone"
"21/03/2020";518;1528;5255;7847;13231;45971;855;3171;9738;14514;17314;28022;549;1702;5372;7820;13615;48941;847;3170;10065;14374;17917;28924;523;1635;5382;7531;14148;49354;847;3285;10533;13869;18087;28841;"FE";"France"
"22/03/2020";519;1546;5328;7949;13406;46585;865;3206;9865;14716;17572;28423;555;1725;5433;7929;13751;49452;855;3214;10176;14542;18102;29250;530;1647;5457;7622;14331;49941;857;3332;10650;14053;18332;29176;"FE";"France"
"23/03/2020";524;1577;5395;8073;13606;47207;880;3255;10002;14941;17864;28830;562;1741;5494;8020;13908;49966;870;3254;10282;14701;18318;29566;537;1672;5519;7720;14496;50479;866;3376;10765;14244;18539;29541;"FE";"France"
"24/03/2020";535;1591;5459;8188;13801;47877;890;3288;10135;15160;18140;29268;567;1762;5560;8100;14061;50469;879;3294;10388;14845;18515;29871;539;1691;5583;7813;14666;51070;881;3412;10904;14414;18797;29869;"FE";"France"
"25/03/2020";539;1608;5549;8300;14001;48550;900;3336;10284;15383;18474;29752;571;1775;5617;8187;14226;50962;894;3340;10502;15010;18718;30174;546;1713;5643;7899;14827;51654;889;3446;11023;14587;19009;30220;"FE";"France"
"26/03/2020";545;1631;5617;8421;14239;49243;906;3381;10417;15614;18818;30234;576;1798;5667;8279;14389;51467;902;3375;10617;15148;18911;30472;554;1729;5700;7999;14993;52234;895;3486;11159;14783;19204;30573;"FE";"France"
"27/03/2020";553;1658;5688;8547;14483;49946;912;3431;10577;15843;19139;30721;586;1815;5728;8366;14546;51965;907;3420;10732;15301;19137;30784;564;1750;5765;8083;15194;52811;903;3530;11283;14941;19440;30905;"FE";"France"
"28/03/2020";557;1685;5760;8689;14700;50729;919;3479;10722;16102;19489;31199;591;1837;5783;8448;14706;52462;917;3459;10852;15443;19374;31105;569;1764;5830;8168;15361;53397;911;3565;11416;15125;19647;31243;"FE";"France"
"29/03/2020";562;1702;5841;8800;14915;51465;924;3520;10857;16302;19846;31693;594;1857;5840;8540;14854;52935;928;3499;10986;15618;19574;31416;571;1790;5900;8262;15528;53980;922;3592;11537;15302;19867;31572;"FE";"France"
"30/03/2020";566;1723;5916;8942;15174;52279;927;3563;11027;16559;20189;32252;601;1872;5898;8620;15020;53433;941;3551;11098;15773;19771;31700;581;1809;5959;8347;15682;54544;933;3634;11677;15475;20099;31886;"FE";"France"
"31/03/2020";569;1745;5994;9092;15398;53135;936;3605;11208;16803;20574;32814;604;1889;5963;8711;15188;53944;950;3587;11209;15918;19957;31977;588;1828;6022;8434;15849;55126;945;3676;11791;15619;20319;32197;"FE";"France"
"01/04/2020";574;1771;6080;9213;15654;54021;948;3656;11352;17056;20946;33413;614;1906;6018;8789;15342;54456;958;3633;11327;16099;20166;32278;600;1841;6095;8533;16004;55689;962;3717;11913;15756;20528;32537;"FE";"France"
"02/04/2020";580;1790;6149;9341;15878;54862;958;3701;11489;17314;21309;33972;622;1917;6068;8872;15494;54991;967;3659;11460;16265;20373;32599;607;1854;6159;8601;16172;56255;969;3745;12037;15895;20755;32841;"FE";"France"
"03/04/2020";584;1815;6230;9483;16133;55797;966;3741;11665;17568;21643;34495;630;1935;6127;8973;15660;55513;974;3688;11578;16420;20584;32891;615;1875;6224;8682;16351;56822;976;3795;12165;16080;20957;33199;"FE";"France"
"04/04/2020";587;1832;6305;9609;16416;56660;971;3796;11815;17803;22000;35027;635;1957;6196;9063;15807;56016;987;3729;11684;16591;20775;33201;624;1892;6282;8780;16526;57363;986;3827;12277;16260;21164;33515;"FE";"France"
"05/04/2020";590;1849;6375;9728;16654;57554;977;3829;11975;18027;22347;35608;642;1974;6260;9152;15950;56512;997;3779;11812;16768;20959;33499;630;1914;6328;8871;16695;57906;998;3876;12409;16432;21369;33830;"FE";"France"
"06/04/2020";597;1869;6463;9845;16899;58450;986;3863;12123;18291;22688;36161;648;1993;6318;9234;16125;56980;1010;3825;11924;16937;21170;33789;639;1939;6386;8971;16852;58448;1009;3914;12530;16596;21558;34147;"FE";"France"
"07/04/2020";602;1896;6536;9959;17147;59343;994;3901;12258;18539;23018;36701;652;2012;6386;9326;16260;57480;1020;3863;12054;17109;21372;34094;640;1959;6446;9043;17018;59027;1017;3951;12650;16779;21753;34446;"FE";"France"
"08/04/2020";605;1917;6609;10075;17382;60181;996;3946;12400;18798;23342;37247;656;2023;6455;9408;16407;58004;1029;3898;12167;17286;21598;34361;647;1973;6524;9135;17161;59567;1029;3994;12756;16934;21962;34763;"FE";"France"
"09/04/2020";617;1933;6685;10196;17628;61013;1004;3992;12526;19016;23663;37744;663;2048;6521;9507;16554;58490;1039;3925;12291;17451;21780;34645;656;1987;6591;9223;17308;60114;1036;4036;12882;17096;22173;35078;"FE";"France"
"10/04/2020";623;1965;6752;10308;17860;61905;1017;4045;12666;19236;23968;38264;669;2064;6583;9598;16707;58976;1043;3956;12408;17618;22005;34954;663;2008;6652;9307;17481;60702;1044;4081;13030;17252;22388;35376;"FE";"France"
